age,weight,height,bmi,goal,level,exercise,duration,image
25,70,170,24.22,muscle_gain,beginner,squat,35,squat.jpg
30,80,175,26.12,muscle_gain,intermediate,deadlift,55,deadlift.jpg
22,65,168,23.04,upper_body,beginner,push_up,30,pushup.jpg
28,90,180,27.78,lower_body,intermediate,lunges,50,lunges.jpg
35,75,165,27.55,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
40,85,172,28.74,core,intermediate,plank,45,plank.jpg
19,60,155,24.98,full_body,advanced,burpees,75,burpees.jpg
45,95,185,27.76,muscle_gain,advanced,bench_press,80,bench_press.jpg
31,68,160,26.56,upper_body,intermediate,shoulder_press,55,shoulder_press.jpg
26,78,178,24.61,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
33,82,170,28.37,fat_loss,intermediate,mountain_climbers,50,mountain_climbers.jpg
29,72,176,23.24,core,advanced,russian_twist,65,russian_twist.jpg
38,88,182,26.56,full_body,intermediate,kettlebell_swing,60,kettlebell_swing.jpg
21,55,150,24.44,muscle_gain,beginner,goblet_squat,40,goblet_squat.jpg
34,95,190,26.32,lower_body,advanced,hip_thrust,75,hip_thrust.jpg
27,65,172,21.97,upper_body,beginner,pull_up,30,pull_up.jpg
24,85,177,27.13,core,intermediate,crunches,45,crunches.jpg
41,100,185,29.22,fat_loss,advanced,high_knees,85,high_knees.jpg
32,72,168,25.51,full_body,beginner,lunges,40,lunges.jpg
23,68,170,23.53,muscle_gain,intermediate,romanian_deadlift,60,romanian_deadlift.jpg
36,78,174,25.76,lower_body,beginner,calf_raise,30,calf_raise.jpg
20,50,145,23.77,upper_body,intermediate,dumbbell_curl,50,dumbbell_curl.jpg
42,92,178,29.03,fat_loss,beginner,burpees,35,burpees.jpg
39,82,183,24.49,core,advanced,bicycle_crunch,70,bicycle_crunch.jpg
18,60,160,23.44,full_body,intermediate,box_jump,55,box_jump.jpg
37,86,170,29.76,muscle_gain,advanced,deadlift,85,deadlift.jpg
28,64,165,23.51,lower_body,intermediate,squat,50,squat.jpg
33,77,179,24.03,upper_body,advanced,triceps_dip,70,triceps_dip.jpg
45,110,188,31.12,fat_loss,intermediate,jumping_jacks,50,jumping_jacks.jpg
26,63,162,24.00,core,beginner,leg_raise,35,leg_raise.jpg
31,74,170,25.61,full_body,advanced,deadlift,80,deadlift.jpg
24,81,175,26.45,muscle_gain,intermediate,bench_press,60,bench_press.jpg
29,70,172,23.66,lower_body,beginner,glute_bridge,30,glute_bridge.jpg
35,96,183,28.67,fat_loss,advanced,mountain_climbers,80,mountain_climbers.jpg
22,58,152,25.11,upper_body,beginner,push_up,30,pushup.jpg
34,84,177,26.81,core,intermediate,plank,50,plank.jpg
48,102,190,28.26,full_body,advanced,burpees,90,burpees.jpg
27,66,169,23.11,muscle_gain,beginner,squat,35,squat.jpg
30,79,176,25.50,lower_body,intermediate,lunges,55,lunges.jpg
25,73,165,26.81,fat_loss,beginner,high_knees,30,high_knees.jpg
41,89,180,27.47,core,advanced,crunches,75,crunches.jpg
19,62,158,24.83,upper_body,intermediate,shoulder_press,45,shoulder_press.jpg
36,90,172,30.43,full_body,advanced,kettlebell_swing,85,kettlebell_swing.jpg
23,67,170,23.18,muscle_gain,intermediate,goblet_squat,60,goblet_squat.jpg
32,80,182,24.15,lower_body,beginner,hip_thrust,40,hip_thrust.jpg
44,98,185,28.64,fat_loss,intermediate,box_jump,65,box_jump.jpg
28,71,168,25.16,core,beginner,russian_twist,35,russian_twist.jpg
33,86,175,28.08,upper_body,advanced,pull_up,80,pull_up.jpg
21,57,150,25.33,full_body,beginner,jumping_jacks,35,jumping_jacks.jpg
38,93,178,29.35,muscle_gain,intermediate,romanian_deadlift,70,romanian_deadlift.jpg
26,69,163,25.97,lower_body,advanced,squat,75,squat.jpg
40,101,185,29.52,fat_loss,beginner,burpees,40,burpees.jpg
29,74,174,24.44,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
35,83,170,28.73,upper_body,beginner,dumbbell_curl,35,dumbbell_curl.jpg
22,64,158,25.64,full_body,advanced,mountain_climbers,70,mountain_climbers.jpg
45,97,190,26.87,muscle_gain,intermediate,bench_press,65,bench_press.jpg
31,76,172,25.69,lower_body,beginner,calf_raise,30,calf_raise.jpg
24,80,178,25.25,fat_loss,intermediate,high_knees,50,high_knees.jpg
37,88,180,27.16,core,advanced,leg_raise,80,leg_raise.jpg
20,54,148,24.64,upper_body,beginner,push_up,30,pushup.jpg
39,94,183,28.06,full_body,intermediate,box_jump,65,box_jump.jpg
28,68,165,24.97,muscle_gain,advanced,deadlift,85,deadlift.jpg
33,79,170,27.34,lower_body,intermediate,lunges,55,lunges.jpg
46,103,188,29.14,fat_loss,beginner,jumping_jacks,35,jumping_jacks.jpg
27,65,160,25.39,core,advanced,plank,70,plank.jpg
30,82,175,26.78,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
25,71,168,25.16,full_body,beginner,squat,40,squat.jpg
41,99,185,28.93,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
34,87,178,27.46,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
19,61,153,26.06,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
32,75,176,24.21,core,intermediate,crunches,45,crunches.jpg
23,66,162,25.16,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
38,91,180,28.09,full_body,intermediate,kettlebell_swing,60,kettlebell_swing.jpg
29,73,173,24.40,muscle_gain,beginner,romanian_deadlift,45,romanian_deadlift.jpg
35,89,182,26.87,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
42,96,185,28.05,fat_loss,advanced,burpees,85,burpees.jpg
26,62,160,24.22,core,beginner,russian_twist,30,russian_twist.jpg
31,80,170,27.68,upper_body,intermediate,pull_up,60,pull_up.jpg
47,104,190,28.80,full_body,advanced,deadlift,90,deadlift.jpg
21,59,155,24.56,muscle_gain,intermediate,squat,55,squat.jpg
36,86,174,28.41,lower_body,advanced,lunges,80,lunges.jpg
24,70,168,24.80,fat_loss,beginner,high_knees,30,high_knees.jpg
39,92,178,29.03,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
28,67,165,24.61,upper_body,beginner,dumbbell_curl,35,dumbbell_curl.jpg
33,84,176,27.12,full_body,advanced,mountain_climbers,75,mountain_climbers.jpg
44,100,183,29.86,muscle_gain,intermediate,bench_press,70,bench_press.jpg
30,72,168,25.51,lower_body,beginner,calf_raise,30,calf_raise.jpg
25,78,175,25.47,fat_loss,intermediate,box_jump,55,box_jump.jpg
37,90,172,30.43,core,advanced,leg_raise,85,leg_raise.jpg
22,63,155,26.22,upper_body,beginner,push_up,30,pushup.jpg
40,95,180,29.32,full_body,intermediate,burpees,65,burpees.jpg
29,70,170,24.22,muscle_gain,advanced,goblet_squat,80,goblet_squat.jpg
34,82,177,26.18,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,98,185,28.64,fat_loss,beginner,jumping_jacks,35,jumping_jacks.jpg
27,66,162,25.16,core,advanced,plank,70,plank.jpg
31,77,174,25.43,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
23,69,165,25.35,full_body,beginner,squat,40,squat.jpg
38,88,178,27.78,muscle_gain,intermediate,deadlift,65,deadlift.jpg
33,86,170,29.76,lower_body,advanced,lunges,85,lunges.jpg
20,55,150,24.44,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
42,100,188,28.29,core,intermediate,crunches,50,crunches.jpg
26,72,168,25.51,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,84,180,25.93,full_body,intermediate,kettlebell_swing,60,kettlebell_swing.jpg
24,65,158,26.04,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
39,93,182,28.07,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,102,190,28.26,fat_loss,advanced,high_knees,85,high_knees.jpg
28,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
32,79,176,25.50,upper_body,intermediate,pull_up,60,pull_up.jpg
41,96,183,28.67,full_body,advanced,burpees,90,burpees.jpg
19,60,150,26.67,muscle_gain,intermediate,squat,50,squat.jpg
36,88,174,29.07,lower_body,advanced,lunges,80,lunges.jpg
25,73,170,25.26,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,75,172,25.36,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,62,155,25.81,upper_body,beginner,push_up,30,pushup.jpg
37,90,178,28.41,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,99,185,28.93,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,71,168,25.16,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,83,175,27.10,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,92,180,28.40,core,advanced,leg_raise,80,leg_raise.jpg
21,57,148,26.03,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,94,182,28.38,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
27,70,170,24.22,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,85,177,27.13,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,101,188,28.58,fat_loss,beginner,burpees,40,burpees.jpg
26,64,160,25.00,core,advanced,plank,70,plank.jpg
32,78,174,25.76,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,70,165,25.71,full_body,beginner,squat,40,squat.jpg
39,89,178,28.09,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,87,170,30.10,lower_body,advanced,lunges,85,lunges.jpg
20,54,148,24.64,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
28,72,168,25.51,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,86,180,26.54,full_body,intermediate,box_jump,60,box_jump.jpg
23,66,162,25.16,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,92,175,30.04,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,103,190,28.54,fat_loss,advanced,high_knees,85,high_knees.jpg
29,69,165,25.35,core,beginner,russian_twist,30,russian_twist.jpg
31,80,176,25.83,upper_body,intermediate,pull_up,60,pull_up.jpg
42,100,185,29.22,full_body,advanced,burpees,90,burpees.jpg
19,61,153,26.06,muscle_gain,intermediate,squat,55,squat.jpg
36,89,174,29.40,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,72,170,24.91,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,74,172,25.02,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,63,158,25.23,upper_body,beginner,push_up,30,pushup.jpg
37,91,178,28.72,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,98,185,28.64,muscle_gain,intermediate,bench_press,65,bench_press.jpg
27,67,165,24.61,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,84,175,27.43,fat_loss,intermediate,box_jump,55,box_jump.jpg
39,93,180,28.70,core,advanced,leg_raise,80,leg_raise.jpg
21,58,150,25.78,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,95,182,28.68,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,71,170,24.57,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,86,177,27.46,lower_body,intermediate,lunges,60,lunges.jpg
45,102,188,28.87,fat_loss,beginner,burpees,40,burpees.jpg
26,65,160,25.39,core,advanced,plank,70,plank.jpg
32,79,174,26.10,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
23,69,165,25.35,full_body,beginner,squat,40,squat.jpg
38,90,178,28.41,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,88,170,30.45,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,55,148,25.11,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,97,183,28.97,core,intermediate,crunches,50,crunches.jpg
29,73,168,25.86,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,87,180,26.85,full_body,intermediate,box_jump,60,box_jump.jpg
24,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
39,94,175,30.69,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,104,190,28.80,fat_loss,advanced,high_knees,85,high_knees.jpg
27,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
30,81,176,26.15,upper_body,intermediate,pull_up,60,pull_up.jpg
42,99,185,28.93,full_body,advanced,burpees,90,burpees.jpg
18,60,155,24.98,muscle_gain,intermediate,squat,50,squat.jpg
36,88,174,29.07,lower_body,advanced,lunges,80,lunges.jpg
25,74,170,25.61,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
31,76,172,25.69,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,61,155,25.39,upper_body,beginner,push_up,30,pushup.jpg
37,90,178,28.41,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,100,185,29.22,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,70,168,24.80,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,85,175,27.76,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,94,180,29.01,core,advanced,leg_raise,80,leg_raise.jpg
21,56,150,24.89,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,96,182,28.98,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,72,170,24.91,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,87,177,27.78,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,103,188,29.16,fat_loss,beginner,burpees,40,burpees.jpg
26,66,160,25.78,core,advanced,plank,70,plank.jpg
32,80,174,26.43,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,71,165,26.08,full_body,beginner,squat,40,squat.jpg
39,91,178,28.72,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,89,170,30.80,lower_body,advanced,lunges,85,lunges.jpg
20,56,150,24.89,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
27,69,165,25.35,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,88,180,27.16,full_body,intermediate,box_jump,60,box_jump.jpg
23,68,162,25.92,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,93,175,30.37,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,105,190,29.09,fat_loss,advanced,high_knees,85,high_knees.jpg
28,67,165,24.61,core,beginner,russian_twist,30,russian_twist.jpg
31,82,176,26.48,upper_body,intermediate,pull_up,60,pull_up.jpg
42,100,185,29.22,full_body,advanced,burpees,90,burpees.jpg
19,62,153,26.50,muscle_gain,intermediate,squat,55,squat.jpg
36,90,174,29.73,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,73,170,25.26,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,75,172,25.36,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,64,158,25.64,upper_body,beginner,push_up,30,pushup.jpg
37,92,178,29.03,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,99,185,28.93,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,71,168,25.16,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,84,175,27.43,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,93,180,28.70,core,advanced,leg_raise,80,leg_raise.jpg
21,59,150,26.22,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,95,182,28.68,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,70,170,24.22,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,86,177,27.46,lower_body,intermediate,lunges,60,lunges.jpg
45,102,188,28.87,fat_loss,beginner,burpees,40,burpees.jpg
26,65,160,25.39,core,advanced,plank,70,plank.jpg
32,79,174,26.10,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
23,69,165,25.35,full_body,beginner,squat,40,squat.jpg
38,90,178,28.41,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,88,170,30.45,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,55,148,25.11,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,97,183,28.97,core,intermediate,crunches,50,crunches.jpg
29,73,168,25.86,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,87,180,26.85,full_body,intermediate,box_jump,60,box_jump.jpg
24,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
39,94,175,30.69,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,104,190,28.80,fat_loss,advanced,high_knees,85,high_knees.jpg
27,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
30,81,176,26.15,upper_body,intermediate,pull_up,60,pull_up.jpg
42,99,185,28.93,full_body,advanced,burpees,90,burpees.jpg
18,60,155,24.98,muscle_gain,intermediate,squat,50,squat.jpg
36,88,174,29.07,lower_body,advanced,lunges,80,lunges.jpg
25,74,170,25.61,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
31,76,172,25.69,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,61,155,25.39,upper_body,beginner,push_up,30,pushup.jpg
37,90,178,28.41,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,100,185,29.22,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,70,168,24.80,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,85,175,27.76,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,94,180,29.01,core,advanced,leg_raise,80,leg_raise.jpg
21,56,150,24.89,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,96,182,28.98,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,72,170,24.91,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,87,177,27.78,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,103,188,29.16,fat_loss,beginner,burpees,40,burpees.jpg
26,66,160,25.78,core,advanced,plank,70,plank.jpg
32,80,174,26.43,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,71,165,26.08,full_body,beginner,squat,40,squat.jpg
39,91,178,28.72,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,89,170,30.80,lower_body,advanced,lunges,85,lunges.jpg
20,57,150,25.33,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
27,69,165,25.35,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,88,180,27.16,full_body,intermediate,box_jump,60,box_jump.jpg
23,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,93,175,30.37,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,105,190,29.09,fat_loss,advanced,high_knees,85,high_knees.jpg
28,66,165,24.24,core,beginner,russian_twist,30,russian_twist.jpg
31,83,176,26.80,upper_body,intermediate,pull_up,60,pull_up.jpg
42,101,185,29.52,full_body,advanced,burpees,90,burpees.jpg
19,63,153,26.91,muscle_gain,intermediate,squat,55,squat.jpg
36,89,174,29.40,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,75,170,25.95,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,77,172,26.03,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,62,158,24.83,upper_body,beginner,push_up,30,pushup.jpg
37,93,178,29.35,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,101,185,29.52,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,72,168,25.51,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,86,175,28.08,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,95,180,29.32,core,advanced,leg_raise,80,leg_raise.jpg
21,58,150,25.78,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
